name,K1022N1_GN1_mean_score,K1030N1_GN1_mean_score,K1040N1_GN1_mean_score,K1063N1_GN1_mean_score,K1065N1_GN1_mean_score,K1013T2_GB1_mean_score,K1030T1_GB1_mean_score,K1030T2_GB1_mean_score,K1030T3_GB1_mean_score,K1063T1_GB1_mean_score,K1063T2_GB1_mean_score,K1184T1_GA1_mean_score,K1040T1_GB1_mean_score,K1022T1_GB1_mean_score
FOSB::JUN,0.16523,0.17797,0.25235,0.14923,0.1791,0.29209,0.16502,0.19594,0.23134,0.15472,0.138,0.09403,0.23472,0.17745
ZNF331,0.15944,0.18259,0.23646,0.14153,0.16463,0.24525,0.16661,0.20193,0.24061,0.13749,0.12627,0.07506,0.23335,0.17368
HES2,0.20842,0.19871,0.2657,0.18771,0.2033,0.30071,0.20334,0.29441,0.2905,0.18068,0.18371,0.1092,0.23293,0.18537
Wt1,0.17019,0.18104,0.24371,0.15765,0.17254,0.27905,0.18572,0.26597,0.2659,0.15714,0.15635,0.09519,0.23163,0.19416
Zfx,0.18649,0.19821,0.26909,0.1729,0.19557,0.28307,0.19271,0.25714,0.2635,0.16448,0.16239,0.09968,0.23017,0.1817
FOS::JUND,0.21707,0.28654,0.4106,0.21702,0.25346,0.27042,0.16386,0.22897,0.24206,0.17173,0.13204,0.11646,0.22963,0.17835
ATF6,0.17171,0.19058,0.25074,0.15648,0.1793,0.26845,0.16804,0.21746,0.23951,0.14906,0.13943,0.09118,0.22793,0.17698
ZBTB7B,0.13756,0.14632,0.20091,0.12825,0.14562,0.24387,0.16665,0.23651,0.23621,0.14258,0.14551,0.08203,0.2277,0.16822
MYCN,0.16672,0.17575,0.23228,0.14845,0.16428,0.25991,0.1637,0.22437,0.2465,0.14427,0.1359,0.08288,0.22751,0.15701
FERD3L,0.15892,0.17343,0.23372,0.14058,0.16144,0.2404,0.16046,0.20011,0.23102,0.13571,0.12492,0.07008,0.22682,0.17448
BATF3,0.22363,0.29678,0.41836,0.22155,0.26039,0.2757,0.16905,0.23623,0.25009,0.17195,0.1333,0.11706,0.22517,0.18056
PAX8,0.18808,0.20008,0.27886,0.16571,0.19591,0.29083,0.17251,0.1936,0.21716,0.15771,0.14404,0.06429,0.22416,0.18146
MAFA,0.17289,0.20499,0.27543,0.1566,0.1844,0.25613,0.16315,0.20108,0.23622,0.14388,0.12358,0.08357,0.22365,0.16428
ZNF549,0.1534,0.17122,0.22786,0.13741,0.15603,0.2414,0.16255,0.2007,0.23647,0.13219,0.12297,0.0712,0.22362,0.16631
TFAP2A,0.18337,0.18765,0.26404,0.1668,0.17848,0.24081,0.16781,0.22225,0.23788,0.1399,0.1361,0.08529,0.22343,0.1758
FOSL2::JUNB,0.16812,0.17532,0.251,0.15001,0.18049,0.30131,0.16522,0.19974,0.23497,0.1576,0.14206,0.09682,0.22292,0.16482
JDP2,0.16496,0.17718,0.25052,0.14865,0.17843,0.29625,0.1658,0.19653,0.23298,0.15593,0.13906,0.09386,0.22233,0.16642
Atf3,0.22363,0.29678,0.41836,0.22155,0.26039,0.2757,0.16905,0.23623,0.25009,0.17195,0.1333,0.11706,0.22186,0.17668
Arnt,0.17599,0.18049,0.23558,0.15312,0.16905,0.25421,0.16148,0.23156,0.25214,0.1453,0.13963,0.08538,0.2215,0.16517
KLF17,0.14337,0.16207,0.21742,0.132,0.14832,0.24467,0.15853,0.22041,0.23309,0.13358,0.12908,0.0826,0.221,0.17113
