name,K1022N1_GN1_mean_score,K1030N1_GN1_mean_score,K1040N1_GN1_mean_score,K1063N1_GN1_mean_score,K1065N1_GN1_mean_score,K1013T2_GB1_mean_score,K1030T1_GB1_mean_score,K1030T2_GB1_mean_score,K1030T3_GB1_mean_score,K1063T1_GB1_mean_score,K1063T2_GB1_mean_score,K1184T1_GA1_mean_score,K1040T1_GB1_mean_score,K1022T1_GB1_mean_score
RARB,0.13665,0.15131,0.21214,0.12156,0.14061,0.21273,0.13505,0.17381,0.2021,0.11555,0.10399,0.06587,0.16747,0.12109
ZNF416,0.12151,0.14409,0.19309,0.10611,0.12271,0.19099,0.11659,0.14077,0.17744,0.0972,0.08348,0.05204,0.16737,0.12636
Stat5b,0.12778,0.14691,0.19278,0.10739,0.12078,0.19525,0.11693,0.13938,0.1833,0.10688,0.08743,0.0511,0.16701,0.11812
PPARA::RXRA,0.11525,0.12587,0.18001,0.09746,0.10988,0.17796,0.10428,0.12835,0.16448,0.0934,0.07795,0.04516,0.16701,0.12976
MYF5,0.13102,0.1511,0.20306,0.10828,0.13179,0.20273,0.13014,0.13899,0.18591,0.11052,0.09447,0.05749,0.1669,0.1203
ETV5::FOXI1,0.12659,0.1563,0.19505,0.10931,0.12631,0.1997,0.12505,0.1459,0.19758,0.11097,0.09364,0.0549,0.16687,0.12293
STAT1,0.13156,0.15358,0.19937,0.11205,0.12508,0.19957,0.11596,0.1377,0.18388,0.10912,0.08842,0.05152,0.16687,0.1237
PBX3,0.13887,0.17351,0.23236,0.12823,0.15129,0.21046,0.13107,0.16567,0.20727,0.11691,0.09661,0.06383,0.16649,0.12114
ZNF189,0.12587,0.14926,0.19481,0.10941,0.12514,0.19813,0.12755,0.15358,0.19802,0.10834,0.09313,0.0532,0.16642,0.12391
MEIS2,0.12589,0.14882,0.20314,0.11363,0.13172,0.20199,0.12363,0.15501,0.19897,0.11072,0.09285,0.05181,0.16634,0.12433
ZNF274,0.11769,0.13991,0.18962,0.10221,0.11838,0.1787,0.10978,0.13638,0.17408,0.10091,0.08205,0.04989,0.16629,0.13084
Foxo3,0.12304,0.13061,0.18456,0.09905,0.1144,0.15675,0.11236,0.12827,0.16263,0.10432,0.07742,0.04771,0.16623,0.12617
RELB,0.1269,0.15011,0.20083,0.11157,0.1289,0.20384,0.11987,0.15305,0.18633,0.11592,0.09307,0.0559,0.1662,0.12422
ERF::FOXI1,0.12766,0.16102,0.19586,0.11113,0.1284,0.20741,0.12657,0.14318,0.2056,0.11321,0.09593,0.0571,0.16599,0.1365
MYB,0.12146,0.13937,0.19041,0.10225,0.1174,0.18292,0.11251,0.13002,0.17204,0.1015,0.08109,0.0472,0.16586,0.12533
ZNF768,0.11886,0.14447,0.1892,0.10518,0.12294,0.19502,0.12507,0.15264,0.19385,0.10572,0.09003,0.05419,0.16584,0.12329
IKZF1,0.12205,0.15551,0.19426,0.10656,0.12321,0.19426,0.11419,0.13166,0.19245,0.10438,0.08513,0.05235,0.16577,0.1157
NFKB1,0.12048,0.1449,0.19028,0.1075,0.13009,0.20395,0.12703,0.16291,0.17788,0.1135,0.09658,0.05097,0.16571,0.14286
Prdm15,0.12574,0.14342,0.18939,0.10567,0.11829,0.18586,0.11679,0.13933,0.1795,0.10347,0.08653,0.04647,0.16568,0.11878
JUN,0.12485,0.14678,0.21027,0.11238,0.13671,0.22395,0.12631,0.14615,0.1837,0.11834,0.09796,0.06664,0.16538,0.12703
RREB1,0.11853,0.13619,0.18563,0.10576,0.11955,0.202,0.12743,0.17023,0.19432,0.10712,0.09765,0.06473,0.16534,0.11873
PKNOX1,0.1325,0.16538,0.22443,0.12237,0.14385,0.20262,0.12428,0.15603,0.19746,0.11296,0.09117,0.05921,0.16532,0.1207
ZBTB12,0.13358,0.15183,0.20126,0.1121,0.12928,0.20089,0.12272,0.14571,0.18645,0.10723,0.09138,0.05214,0.16529,0.12382
ESR1,0.11893,0.13574,0.18806,0.10538,0.12132,0.18964,0.12326,0.15102,0.18339,0.10096,0.0872,0.05272,0.16528,0.12054
TFAP4,0.13169,0.15576,0.21032,0.11112,0.13448,0.20425,0.12394,0.14031,0.18772,0.10717,0.08961,0.05205,0.165,0.12084
ZNF140,0.12601,0.14622,0.19479,0.11085,0.12533,0.19242,0.12033,0.14772,0.18588,0.10719,0.09026,0.05524,0.16498,0.12453
Prdm5,0.11652,0.1358,0.1801,0.10054,0.11545,0.18399,0.11885,0.14833,0.1855,0.10275,0.08779,0.04923,0.16497,0.12179
ZNF282,0.12127,0.14285,0.1877,0.10519,0.12024,0.19014,0.12051,0.14793,0.18474,0.10808,0.0908,0.05312,0.16492,0.12101
FOXO1::ELK1,0.12336,0.15436,0.19157,0.10552,0.12159,0.19391,0.11687,0.13271,0.19209,0.10617,0.08656,0.05136,0.16441,0.12965
FOXA3,0.12304,0.13061,0.18456,0.09905,0.1144,0.15675,0.11236,0.12827,0.16263,0.10432,0.07742,0.04771,0.16426,0.12354
FOXP4,0.12304,0.13061,0.18456,0.09905,0.1144,0.15675,0.11236,0.12827,0.16263,0.10432,0.07742,0.04771,0.16404,0.11724
TCF3,0.14748,0.17183,0.22829,0.13145,0.15104,0.19624,0.12089,0.15654,0.19294,0.10302,0.09256,0.04422,0.16397,0.1239
ZNF675,0.1187,0.13735,0.18664,0.10352,0.11575,0.18382,0.11663,0.14408,0.18185,0.10421,0.08773,0.05152,0.16374,0.11998
ASCL1,0.14622,0.16795,0.22387,0.12962,0.14922,0.20431,0.12714,0.1621,0.19621,0.10693,0.09703,0.05057,0.16357,0.12545
FOXO6,0.12304,0.13061,0.18456,0.09905,0.1144,0.15675,0.11236,0.12827,0.16263,0.10432,0.07742,0.04771,0.16328,0.12179
FOXO1::ELK3,0.12305,0.14956,0.18853,0.10466,0.11902,0.19021,0.11611,0.13275,0.18881,0.10543,0.08568,0.05057,0.16326,0.12073
Elf5,0.12012,0.15612,0.19026,0.10416,0.12147,0.18835,0.1111,0.12916,0.17982,0.09945,0.08238,0.04849,0.16325,0.12238
ZSCAN16,0.12919,0.14986,0.20133,0.11127,0.1271,0.19104,0.12356,0.14387,0.18858,0.10828,0.08746,0.05144,0.16324,0.11275
ZNF184,0.1178,0.13525,0.18205,0.10214,0.11464,0.17985,0.11308,0.14016,0.17541,0.1026,0.08564,0.0479,0.16309,0.12293
ATF2,0.12435,0.14049,0.20848,0.11159,0.13323,0.22721,0.1264,0.14471,0.17841,0.11626,0.09816,0.0655,0.16302,0.12851
IKZF2,0.12499,0.16004,0.19721,0.1108,0.12904,0.20169,0.12516,0.14917,0.1954,0.10819,0.09336,0.05486,0.16301,0.11679
TP73,0.12379,0.145,0.19562,0.10852,0.12532,0.19422,0.11574,0.132,0.17173,0.10644,0.08931,0.05696,0.163,0.1202
BACH2,0.12753,0.14165,0.20404,0.11279,0.13142,0.2154,0.11845,0.14272,0.17691,0.11677,0.09565,0.06366,0.16245,0.11913
TGIF2LY,0.12307,0.14447,0.20201,0.10876,0.12874,0.18896,0.1114,0.14107,0.1832,0.10223,0.08327,0.04682,0.16217,0.11697
NR4A2::RXRA,0.1292,0.14266,0.20159,0.11234,0.12834,0.19833,0.12622,0.14707,0.17938,0.10909,0.09379,0.0502,0.16212,0.12373
FOXD1,0.12304,0.13061,0.18456,0.09905,0.1144,0.15675,0.11236,0.12827,0.16263,0.10432,0.07742,0.04771,0.1621,0.12312
NFIB,0.14348,0.15652,0.20804,0.12277,0.13475,0.24493,0.12606,0.16531,0.19166,0.11092,0.09719,0.05838,0.1617,0.12635
NFIC::TLX1,0.13884,0.15034,0.19892,0.11613,0.12713,0.23294,0.11621,0.15119,0.18278,0.10453,0.08865,0.05287,0.16153,0.12518
Gli1,0.11772,0.14124,0.18756,0.10712,0.12203,0.19233,0.12348,0.15568,0.19228,0.10489,0.09457,0.05991,0.16136,0.11494
NR2C1,0.12022,0.13246,0.19027,0.10727,0.12037,0.19592,0.12445,0.15635,0.18821,0.10412,0.09362,0.05525,0.16119,0.11597
RARA,0.12597,0.1406,0.2006,0.11041,0.12362,0.19896,0.12237,0.14905,0.18844,0.10539,0.08968,0.05072,0.16101,0.12131
NR2C2,0.11288,0.12237,0.18446,0.09659,0.10872,0.17904,0.10591,0.12755,0.16574,0.09065,0.07579,0.04463,0.16099,0.09932
ZBTB26,0.11966,0.13526,0.18493,0.10106,0.11398,0.18591,0.1145,0.14072,0.18428,0.10229,0.08467,0.04971,0.16084,0.11918
ETV5::HOXA2,0.13581,0.15437,0.20224,0.11516,0.1297,0.19636,0.11966,0.1412,0.18736,0.11207,0.09334,0.0552,0.16045,0.12024
Pparg::Rxra,0.12058,0.13794,0.19029,0.10587,0.12048,0.19785,0.1218,0.15329,0.18733,0.10282,0.0905,0.05272,0.16044,0.1438
THRA,0.11994,0.13961,0.1946,0.10676,0.12332,0.19097,0.12186,0.15133,0.18656,0.10272,0.08997,0.05357,0.16044,0.1438
ZNF317,0.12171,0.14602,0.1956,0.10431,0.1226,0.19318,0.12202,0.13954,0.19196,0.10455,0.08484,0.04999,0.16044,0.1438
OSR2,0.12917,0.14948,0.19804,0.11128,0.12747,0.19582,0.12618,0.14851,0.1905,0.11073,0.09233,0.05223,0.16032,0.12349
MSC,0.12864,0.14769,0.19896,0.10586,0.12508,0.18762,0.11582,0.12925,0.17581,0.10024,0.08362,0.04461,0.16032,0.11373
NR1D1,0.11956,0.13664,0.18978,0.10552,0.12139,0.19095,0.11701,0.14716,0.17843,0.09965,0.08666,0.05305,0.15985,0.12069
CREB1,0.11591,0.13181,0.19591,0.10394,0.12408,0.20603,0.11506,0.13744,0.16963,0.1061,0.0885,0.05954,0.15953,0.11939
RXRA::VDR,0.12621,0.13589,0.19197,0.10641,0.12125,0.18506,0.11569,0.13991,0.17267,0.10286,0.08727,0.04804,0.15946,0.1186
SOX4,0.11427,0.12134,0.1783,0.09593,0.10388,0.16433,0.10998,0.12835,0.17018,0.09519,0.07614,0.04284,0.15941,0.11009
FOXJ2::ELF1,0.12707,0.16,0.19475,0.10943,0.12601,0.20013,0.12017,0.13495,0.195,0.11033,0.09122,0.05349,0.15898,0.11704
PROX1,0.13083,0.14385,0.19686,0.1144,0.12829,0.19859,0.12522,0.15843,0.19083,0.11321,0.09696,0.05669,0.15867,0.13066
FOXP1,0.12304,0.13061,0.18456,0.09905,0.1144,0.15675,0.11236,0.12827,0.16263,0.10432,0.07742,0.04771,0.15845,0.11688
NR3C1,0.12245,0.13838,0.18989,0.10442,0.11685,0.18315,0.11493,0.1351,0.17895,0.10322,0.08277,0.04664,0.15829,0.1165
GBX2,0.11434,0.11353,0.16985,0.0898,0.09726,0.14257,0.07912,0.09953,0.13647,0.08086,0.06028,0.03364,0.15828,0.11236
DMRTA2,0.11455,0.1284,0.18041,0.09483,0.10732,0.15904,0.0977,0.11152,0.15579,0.09271,0.07023,0.04078,0.15816,0.11331
ZKSCAN1,0.12172,0.14075,0.1932,0.10462,0.11891,0.17331,0.11185,0.13627,0.18258,0.10059,0.08025,0.05164,0.15814,0.11696
TCF12,0.14748,0.17183,0.22829,0.13145,0.15104,0.19624,0.12089,0.15654,0.19294,0.10302,0.09256,0.04422,0.15807,0.12101
FLI1::FOXI1,0.11809,0.14752,0.18635,0.10154,0.11687,0.18797,0.11222,0.12712,0.18699,0.10199,0.08225,0.05019,0.15805,0.11984
Bcl11B,0.11176,0.12869,0.18281,0.10096,0.11141,0.16665,0.11198,0.12009,0.17764,0.10859,0.08496,0.05335,0.15805,0.11985
RARG,0.12378,0.13868,0.19945,0.10978,0.1266,0.19437,0.12027,0.15003,0.18402,0.10398,0.08999,0.05694,0.15795,0.11734
TP53,0.12018,0.14247,0.19443,0.10445,0.12147,0.19167,0.11129,0.12489,0.16885,0.1032,0.08381,0.05483,0.15781,0.11414
ZNF135,0.10669,0.12396,0.17072,0.09703,0.11239,0.17384,0.1103,0.14792,0.1664,0.08948,0.08223,0.05402,0.15774,0.11813
FOXO1::ELF1,0.11841,0.14645,0.1867,0.10058,0.11549,0.18411,0.11027,0.12506,0.18317,0.10025,0.07969,0.04852,0.15774,0.11813
SREBF2,0.1176,0.14656,0.19902,0.10783,0.12669,0.19521,0.1179,0.14601,0.18423,0.10383,0.08665,0.05766,0.15759,0.11402
Hic1,0.12029,0.14393,0.19241,0.10491,0.1194,0.19775,0.11225,0.14081,0.18021,0.09556,0.07893,0.04482,0.15758,0.12218
ZNF75D,0.1291,0.15188,0.19931,0.11181,0.12786,0.19541,0.12392,0.1493,0.19114,0.11123,0.09208,0.05453,0.15757,0.11705
Sox11,0.11427,0.12201,0.17647,0.09572,0.10359,0.16726,0.1107,0.12918,0.17092,0.09472,0.076,0.04206,0.15723,0.12221
ZNF75A,0.121,0.14222,0.18848,0.10423,0.11867,0.18314,0.11456,0.13961,0.17897,0.1041,0.08592,0.04948,0.15716,0.11375
NR2F1,0.12253,0.12808,0.18979,0.10535,0.1169,0.19218,0.11422,0.14339,0.17611,0.09964,0.08774,0.04912,0.15713,0.11389
FOXO4,0.12304,0.13061,0.18456,0.09905,0.1144,0.15675,0.11236,0.12827,0.16263,0.10432,0.07742,0.04771,0.15692,0.11635
Npas2,0.15604,0.16246,0.21892,0.13712,0.15051,0.23775,0.14936,0.2073,0.23107,0.13092,0.12289,0.07602,0.1569,0.12443
MEOX1,0.12269,0.11184,0.1693,0.09056,0.0944,0.14815,0.0727,0.0898,0.12762,0.07576,0.05454,0.02435,0.15681,0.11154
SOX12,0.1221,0.12749,0.18255,0.09891,0.10941,0.16623,0.11017,0.1278,0.16617,0.09922,0.07956,0.04492,0.15678,0.12103
Rhox11,0.13547,0.1423,0.19648,0.10913,0.12329,0.1745,0.11022,0.12701,0.17361,0.10494,0.08327,0.0454,0.15678,0.12103
NR1D2,0.11722,0.13643,0.19256,0.10378,0.11935,0.18313,0.11179,0.13875,0.17335,0.09844,0.0826,0.05194,0.15661,0.11141
Runx1,0.1205,0.14291,0.19841,0.11095,0.12509,0.18545,0.12632,0.13727,0.19861,0.11752,0.09547,0.06189,0.15649,0.12709
FOXL1,0.12304,0.13061,0.18456,0.09905,0.1144,0.15675,0.11236,0.12827,0.16263,0.10432,0.07742,0.04771,0.15623,0.11779
BCL6,0.12632,0.14353,0.19286,0.10769,0.11865,0.18952,0.11253,0.13449,0.18049,0.10626,0.08643,0.05009,0.15615,0.11535
HIC2,0.11925,0.13795,0.18998,0.1041,0.11885,0.18567,0.11392,0.14079,0.17877,0.09768,0.08253,0.05045,0.15603,0.11342
CDX4,0.10991,0.11094,0.17059,0.08862,0.09871,0.13157,0.073,0.09611,0.12918,0.07606,0.05609,0.03863,0.15597,0.10919
TGIF2LX,0.1183,0.13963,0.19415,0.10439,0.12383,0.18312,0.11012,0.13877,0.18536,0.09806,0.08044,0.04572,0.15596,0.11222
IRF9,0.10979,0.13269,0.16472,0.09057,0.10203,0.16785,0.11241,0.13234,0.16935,0.10509,0.0856,0.04103,0.15564,0.11262
Foxo1,0.12304,0.13061,0.18456,0.09905,0.1144,0.15675,0.11236,0.12827,0.16263,0.10432,0.07742,0.04771,0.15528,0.11404
NEUROG2,0.10762,0.127,0.17481,0.09174,0.10764,0.18127,0.11125,0.13507,0.18697,0.09541,0.07765,0.04754,0.15525,0.11486
SREBF1,0.12565,0.1556,0.20873,0.11489,0.13552,0.19961,0.12265,0.15066,0.18456,0.1079,0.09213,0.06035,0.15514,0.11785
DPRX,0.09895,0.10977,0.16343,0.08496,0.09711,0.16427,0.1007,0.12273,0.15743,0.09188,0.07373,0.04625,0.15486,0.10909
DLX6,0.11434,0.11353,0.16985,0.0898,0.09726,0.14257,0.07912,0.09953,0.13647,0.08086,0.06028,0.03364,0.15463,0.10975
NEUROD1,0.11409,0.13288,0.1823,0.09619,0.11399,0.18433,0.11477,0.13041,0.17942,0.10084,0.08249,0.04966,0.15462,0.12055
NRL,0.12013,0.14155,0.19822,0.10323,0.12163,0.1889,0.10649,0.12961,0.17063,0.10029,0.07878,0.05418,0.15446,0.11502
THRB,0.12305,0.12919,0.1896,0.10601,0.11778,0.19571,0.11806,0.14921,0.17918,0.1025,0.09146,0.05147,0.15439,0.10964
MEIS1,0.11052,0.1315,0.18583,0.09834,0.11414,0.17775,0.10653,0.13137,0.17337,0.09936,0.07827,0.04686,0.15408,0.11507
USF1,0.13093,0.15675,0.21397,0.11676,0.13848,0.20374,0.11076,0.15288,0.18919,0.10808,0.09182,0.05728,0.15407,0.11535
Atoh1,0.10762,0.127,0.17481,0.09174,0.10764,0.18127,0.11125,0.13507,0.18697,0.09541,0.07765,0.04754,0.15401,0.11482
Nr5A2,0.12052,0.13275,0.19251,0.10226,0.11644,0.1787,0.1091,0.13403,0.17263,0.0942,0.07863,0.04719,0.15385,0.11257
BHLHE22,0.13858,0.15979,0.21277,0.11809,0.14032,0.21866,0.13797,0.15857,0.20126,0.11482,0.10123,0.06068,0.15369,0.11306
ZKSCAN5,0.1343,0.16165,0.20944,0.12335,0.14092,0.22865,0.14201,0.18491,0.21243,0.12189,0.11249,0.07058,0.15365,0.12313
Ar,0.13024,0.14979,0.19904,0.11242,0.12708,0.1982,0.12667,0.15096,0.193,0.11094,0.09288,0.05356,0.15362,0.12263
SOX14,0.11956,0.12415,0.18575,0.09982,0.10866,0.1616,0.10554,0.1268,0.16358,0.09603,0.07636,0.04665,0.1532,0.11438
RARA::RXRG,0.13327,0.1474,0.21083,0.12008,0.13431,0.21563,0.13559,0.17364,0.20208,0.1156,0.10509,0.0608,0.15319,0.11626
SMAD3,0.11305,0.13164,0.18193,0.09813,0.11267,0.17421,0.11005,0.1322,0.17268,0.10085,0.08223,0.05044,0.15315,0.11219
HNF4G,0.11144,0.12829,0.17886,0.09478,0.10794,0.18193,0.10445,0.12277,0.16275,0.09571,0.07671,0.04371,0.153,0.11118
MYOD1,0.1329,0.15385,0.2084,0.11532,0.13494,0.18547,0.11341,0.13801,0.17528,0.09754,0.08527,0.04441,0.15287,0.13692
ETV5::DRGX,0.1317,0.15424,0.19827,0.11139,0.12556,0.18977,0.11419,0.13227,0.18197,0.10656,0.0874,0.05193,0.15282,0.1128
NFATC3,0.11418,0.12334,0.1735,0.09231,0.10139,0.16888,0.1015,0.11846,0.16284,0.09443,0.073,0.04069,0.15274,0.1065
FOXK2,0.12304,0.13061,0.18456,0.09905,0.1144,0.15675,0.11236,0.12827,0.16263,0.10432,0.07742,0.04771,0.15272,0.113
Rarb,0.1207,0.13419,0.19359,0.10434,0.11678,0.18653,0.11337,0.13426,0.17695,0.09893,0.08126,0.04662,0.15246,0.10954
MEIS3,0.10864,0.12835,0.18214,0.09667,0.11269,0.17756,0.10559,0.13016,0.17268,0.10016,0.07805,0.04526,0.15213,0.10875
RXRB,0.11711,0.12237,0.18062,0.09953,0.10934,0.18526,0.1084,0.13344,0.16911,0.0964,0.08216,0.04471,0.15209,0.11254
MYOG,0.1408,0.15848,0.21166,0.11905,0.14143,0.22086,0.14388,0.16193,0.20315,0.11836,0.10613,0.06432,0.15201,0.11866
ERF::FOXO1,0.1214,0.14863,0.18816,0.10368,0.11865,0.18838,0.11552,0.13325,0.18829,0.10319,0.08462,0.04946,0.15191,0.11369
Neurod2,0.11409,0.13288,0.1823,0.09619,0.11399,0.18433,0.11477,0.13041,0.17942,0.10084,0.08249,0.04966,0.15187,0.11164
Rarg,0.11309,0.12765,0.18433,0.09779,0.11178,0.17902,0.11027,0.13445,0.17314,0.0946,0.07961,0.04589,0.1518,0.1096
CEBPB,0.1343,0.16703,0.20313,0.11494,0.14698,0.17615,0.11336,0.1351,0.19468,0.11568,0.08924,0.06241,0.1516,0.12164
ZNF324,0.11496,0.13819,0.18619,0.10031,0.11506,0.18185,0.10987,0.1324,0.1711,0.09646,0.07971,0.04787,0.15156,0.10999
CEBPG,0.13737,0.16672,0.20935,0.11574,0.14466,0.17975,0.11143,0.13353,0.1884,0.11543,0.08938,0.06058,0.15154,0.11456
HNF4A,0.11492,0.12015,0.17579,0.09518,0.10618,0.18491,0.10671,0.12956,0.16503,0.09623,0.08108,0.04207,0.15153,0.11317
Spz1,0.10929,0.12817,0.17127,0.09396,0.10914,0.17252,0.10844,0.13484,0.16759,0.09162,0.07845,0.04817,0.15146,0.11102
Stat5a::Stat5b,0.12326,0.14378,0.19054,0.10442,0.11709,0.19032,0.11189,0.13287,0.17808,0.10387,0.08361,0.04925,0.15144,0.10886
RUNX3,0.10962,0.12655,0.18061,0.0977,0.11032,0.16738,0.10761,0.12148,0.16708,0.0993,0.08007,0.04997,0.15126,0.11192
SOX15,0.11,0.11451,0.17436,0.09176,0.10027,0.15017,0.10116,0.12049,0.15971,0.09015,0.0719,0.04505,0.151,0.10489
NFIC,0.12222,0.13849,0.18622,0.10196,0.11387,0.21885,0.10969,0.13359,0.16702,0.09722,0.07974,0.04477,0.15082,0.10792
PAX6,0.13663,0.15097,0.21357,0.11401,0.13243,0.1983,0.10705,0.11293,0.14983,0.10885,0.08366,0.04085,0.15004,0.12712
Stat4,0.12262,0.14087,0.18722,0.10285,0.11483,0.18758,0.10685,0.1267,0.17282,0.1011,0.08046,0.04646,0.14999,0.11204
ZNF214,0.11633,0.1325,0.187,0.09947,0.1119,0.16941,0.09947,0.11887,0.15864,0.09291,0.07243,0.04288,0.14988,0.10412
FOXN3,0.11953,0.13141,0.1825,0.09793,0.11152,0.16248,0.10886,0.12273,0.16106,0.09963,0.07611,0.0441,0.14943,0.11297
Nr2f6,0.11812,0.12366,0.18461,0.10084,0.11136,0.18522,0.1085,0.13366,0.16853,0.09602,0.08208,0.04503,0.14941,0.10785
SIX2,0.11558,0.13783,0.18881,0.09932,0.11684,0.16512,0.09846,0.11542,0.15364,0.09218,0.07227,0.04309,0.14932,0.10473
NR3C2,0.12121,0.13726,0.18846,0.10307,0.11535,0.18114,0.11381,0.13365,0.17741,0.10192,0.08172,0.04617,0.14917,0.10365
EOMES,0.1243,0.14964,0.20687,0.11004,0.12558,0.16782,0.09624,0.11861,0.15436,0.09197,0.07357,0.04242,0.14916,0.10426
PPARG,0.12059,0.14166,0.19889,0.10683,0.1222,0.18343,0.11418,0.13978,0.177,0.0986,0.081,0.05088,0.14904,0.11007
TBX20,0.1133,0.13523,0.1855,0.09799,0.11146,0.1637,0.09602,0.11586,0.15505,0.09051,0.07103,0.04117,0.14904,0.1037
ZNF157,0.11443,0.12852,0.18189,0.0971,0.10712,0.1583,0.09607,0.11398,0.15967,0.09057,0.0699,0.04268,0.14904,0.1037
RORB,0.10546,0.11477,0.16973,0.08871,0.10045,0.17433,0.09606,0.11139,0.15448,0.08554,0.0676,0.04069,0.14904,0.1037
HNF4A,0.11144,0.12829,0.17886,0.09478,0.10794,0.18193,0.10445,0.12277,0.16275,0.09571,0.07671,0.04371,0.14903,0.11022
CEBPE,0.13342,0.16257,0.20206,0.1119,0.14327,0.17138,0.10769,0.12883,0.18914,0.11264,0.08542,0.05983,0.14898,0.11964
NKX2-8,0.11217,0.12918,0.17738,0.09464,0.10825,0.16767,0.09978,0.11956,0.15749,0.0915,0.07261,0.04233,0.14895,0.10314
FOXP3,0.12304,0.13061,0.18456,0.09905,0.1144,0.15675,0.11236,0.12827,0.16263,0.10432,0.07742,0.04771,0.14848,0.12731
STAT3,0.12569,0.14263,0.18996,0.10479,0.11625,0.18922,0.10788,0.12946,0.17635,0.10261,0.08092,0.04802,0.14833,0.10607
Nr1h3::Rxra,0.11775,0.13638,0.19258,0.10183,0.1171,0.17636,0.10855,0.13163,0.17246,0.09527,0.07748,0.04599,0.14831,0.1082
ETV5::FOXO1,0.12121,0.14525,0.18992,0.10398,0.11856,0.18498,0.1145,0.13306,0.18301,0.1012,0.08271,0.04853,0.14823,0.10615
Sox17,0.1131,0.11973,0.17901,0.09499,0.1032,0.15896,0.10475,0.12412,0.16394,0.09284,0.07375,0.04421,0.14823,0.105
PAX3,0.14593,0.1601,0.22145,0.12463,0.14467,0.20688,0.12568,0.15293,0.18641,0.11943,0.0995,0.05987,0.14821,0.10969
IRF8,0.11958,0.14811,0.17765,0.09982,0.1137,0.18486,0.12552,0.14938,0.18379,0.11744,0.09894,0.04631,0.14821,0.10969
Stat5a,0.11975,0.14033,0.18579,0.10188,0.11354,0.18984,0.10779,0.12853,0.17219,0.10138,0.08107,0.04822,0.14786,0.1088
Prdm4,0.12444,0.14243,0.18763,0.10337,0.11657,0.18522,0.11329,0.13119,0.17536,0.10245,0.08319,0.04485,0.14784,0.10799
Zfp335,0.13274,0.15569,0.21312,0.11488,0.13222,0.19069,0.11322,0.13274,0.17822,0.09987,0.08179,0.05201,0.14781,0.10801
Rxra,0.11761,0.12231,0.18072,0.09952,0.10953,0.18609,0.10895,0.1333,0.16901,0.09668,0.08254,0.0446,0.1477,0.11073
HOXB2,0.12029,0.1071,0.16776,0.0905,0.09149,0.14244,0.06934,0.08456,0.12169,0.07688,0.05441,0.02419,0.14763,0.10113
PRDM1,0.11578,0.13624,0.17869,0.09888,0.11263,0.1781,0.11403,0.13909,0.17603,0.10232,0.08502,0.04565,0.14762,0.10911
ZNF582,0.11988,0.13543,0.18474,0.10072,0.11218,0.17216,0.10764,0.12688,0.17459,0.0946,0.07563,0.04421,0.14724,0.12286
Ptf1A,0.10546,0.12157,0.1713,0.08759,0.10475,0.16642,0.10367,0.11501,0.15941,0.0945,0.07491,0.0452,0.14717,0.11165
TEAD4,0.1277,0.16226,0.22639,0.12359,0.13534,0.19854,0.091,0.1193,0.17886,0.10977,0.08026,0.06362,0.14686,0.11275
FOXA1,0.11443,0.11948,0.1755,0.09351,0.10465,0.14239,0.09841,0.11465,0.1467,0.09524,0.06994,0.04374,0.14682,0.10367
SOX2,0.11156,0.11902,0.17751,0.09432,0.104,0.16011,0.10601,0.12613,0.1631,0.09458,0.07698,0.04658,0.1468,0.10575
EWSR1-FLI1,0.12956,0.15695,0.20022,0.11641,0.13199,0.21752,0.138,0.17651,0.20851,0.11801,0.10664,0.06312,0.14674,0.10317
Gfi1B,0.11562,0.1343,0.18407,0.0989,0.11491,0.17336,0.109,0.12824,0.17396,0.09968,0.07916,0.04914,0.14672,0.10859
POU1F1,0.1158,0.11607,0.16973,0.08993,0.09902,0.14501,0.08027,0.09655,0.13114,0.08304,0.05969,0.03475,0.14657,0.10261
Pou5f1::Sox2,0.10275,0.10803,0.16135,0.08288,0.09113,0.13859,0.07917,0.09401,0.1326,0.07995,0.05785,0.03405,0.14657,0.10261
SCRT1,0.13028,0.15377,0.20828,0.11366,0.13221,0.1759,0.10784,0.13137,0.17691,0.09717,0.08006,0.04085,0.14654,0.10568
ZNF766,0.11463,0.13136,0.1783,0.097,0.10889,0.16268,0.1014,0.11942,0.16093,0.09484,0.07552,0.0425,0.14649,0.10984
TAL1::TCF3,0.11255,0.1275,0.17811,0.09236,0.10843,0.17073,0.1038,0.11624,0.16654,0.09521,0.07566,0.04218,0.14642,0.10593
BCL6B,0.12053,0.13612,0.18657,0.10104,0.11195,0.17784,0.10098,0.12022,0.16604,0.09819,0.07639,0.04441,0.14636,0.10799
Hand1::Tcf3,0.11701,0.13479,0.18643,0.10073,0.11369,0.18353,0.10545,0.12825,0.17283,0.09817,0.07911,0.04857,0.14634,0.11336
ZSCAN21,0.12103,0.13937,0.19133,0.10037,0.11604,0.17347,0.10419,0.11975,0.165,0.09483,0.07416,0.04352,0.14627,0.10937
SIX1,0.1225,0.14321,0.19384,0.10408,0.12098,0.17087,0.10323,0.11889,0.15686,0.09579,0.07595,0.04242,0.14612,0.10478
VAX2,0.12029,0.1071,0.16776,0.0905,0.09149,0.14244,0.06934,0.08456,0.12169,0.07688,0.05441,0.02419,0.14595,0.09276
Nr1h3,0.11288,0.12237,0.18446,0.09659,0.10872,0.17904,0.10591,0.12755,0.16574,0.09065,0.07579,0.04463,0.14594,0.10993
