"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PDLIM5",3.16427592220566e-17,-0.846305909816245,0.793,0.956,5.48115875244465e-13
"DCLK1",3.23422590884448e-17,1.93461308384758,0.469,0.304,5.6023261193004e-13
"MTUS1",3.36378954707088e-17,-0.890180522389656,0.311,0.597,5.82675625343618e-13
"PLSCR2",3.37883492341078e-17,-1.89741047537994,0.074,0.263,5.85281785433215e-13
"CLEC2D",3.38593500683541e-17,2.06780778817979,0.568,0.402,5.8651166188403e-13
"AXDND1",3.4524886588107e-17,-2.05214944372878,0.058,0.274,5.9804008547919e-13
"ANKUB1",3.50215964628018e-17,2.26886223183839,0.533,0.298,6.06644093928652e-13
"PFKP",3.51499142975494e-17,0.921092145317412,0.831,0.921,6.08866815462151e-13
"WASF3",3.56097520811088e-17,1.99761077310617,0.411,0.216,6.16832125548966e-13
"ZC3H12B",3.57941757693509e-17,1.53139859056138,0.539,0.342,6.20026712676696e-13
"RMDN3",3.63394085613827e-17,-0.782875216160435,0.164,0.394,6.29471235100272e-13
"JMJD8",3.71561105103435e-17,-0.711909911787258,0.196,0.384,6.4361814626017e-13
"ARHGAP1",3.86216460770399e-17,-0.716724310772617,0.313,0.605,6.69004153346486e-13
"CIAO1",3.99625106697946e-17,-0.681530745303586,0.354,0.634,6.92230609822181e-13
"SNAPC4",3.99932431379004e-17,-0.97856498148281,0.198,0.452,6.92762957634712e-13
"AREL1",4.0663677862711e-17,-0.541757336069816,0.41,0.697,7.0437622793788e-13
"IFT57",4.06832622912504e-17,-0.865327872950205,0.444,0.738,7.0471546940904e-13
"ESYT1",4.29595199621629e-17,-0.561448122396496,0.407,0.687,7.44144804784585e-13
"ELP3",4.46395175686781e-17,-0.514337924492126,0.394,0.666,7.73245723324642e-13
"TNFRSF10A",5.09457175628972e-17,-0.711366448795739,0.361,0.639,8.82481719624505e-13
"DNTTIP1",5.24369936462007e-17,2.61919818070247,0.453,0.261,9.08313603939489e-13
"SMCO4",5.32959294382083e-17,2.84234116776672,0.302,0.094,9.23192089728644e-13
"TNFRSF12A",5.82734835473567e-17,-0.669721928413712,0.425,0.761,1.00941328200731e-12
"SIAE",5.86521646375163e-17,-0.902354271901247,0.192,0.447,1.01597279585106e-12
"WNK4",6.44558830586968e-17,-1.31012508302216,0.092,0.311,1.11650480634275e-12
"SBDS",6.55893583216758e-17,-0.65990123397645,0.318,0.579,1.13613886484807e-12
"PFN1",6.77085823875873e-17,-0.516847806994382,0.525,0.853,1.17284806411779e-12
"OGFRL1",6.82010383076445e-17,1.80896633267369,0.601,0.433,1.18137838556502e-12
"CHN1",6.86742977502766e-17,2.29376574562395,0.445,0.217,1.18957618563029e-12
"HDGFL2",6.93765993137057e-17,-0.784324926519384,0.237,0.472,1.20174145331201e-12
"FAM227A",7.10722147226585e-17,-0.738920137527117,0.291,0.59,1.23111290342589e-12
"RCAN1",7.47622205557264e-17,-1.14218941778999,0.308,0.579,1.29503118446629e-12
"ERMAP",7.52745858314886e-17,-0.940615541176769,0.174,0.423,1.30390637577305e-12
"NFATC1",7.61412776623198e-17,-1.78129496847057,0.106,0.327,1.3189192116667e-12
"RHOC",7.64218446774481e-17,-1.17569131468403,0.22,0.475,1.32377919350276e-12
"PKN2",7.68121620680038e-17,-0.502470487945172,0.711,0.944,1.33054027134196e-12
"SPIDR",7.82513629882458e-17,0.86952541687064,0.863,0.967,1.35547010968239e-12
"TUBB6",7.84472171287375e-17,2.11455093143073,0.608,0.559,1.35886269510399e-12
"EZH1",8.32707669763996e-17,-0.585222020511961,0.291,0.545,1.44241622556519e-12
"SLC48A1",8.73681800843688e-17,-0.903981323043222,0.199,0.437,1.51339161542144e-12
"ITGAV",8.77871346628295e-17,-0.669628238361738,0.715,0.939,1.52064874662953e-12
"GTF2F1",9.45395747299537e-17,-0.774573548163784,0.351,0.647,1.63761451347226e-12
"ULK2",9.71467664101966e-17,1.56871510088406,0.541,0.39,1.68277628775743e-12
"EHD1",9.91645645713214e-17,-0.792201709036969,0.389,0.693,1.71772858750443e-12
"NSFL1C",1.00741008554938e-16,-0.661343891220753,0.552,0.835,1.74503575018864e-12
"ZNF354B",1.01844650067281e-16,2.46024319230384,0.378,0.174,1.76415302846545e-12
"MORF4L2",1.05234510455466e-16,0.958273623755579,0.755,0.889,1.82287219010958e-12
"GBP1",1.12512367347395e-16,-1.40205396881958,0.175,0.417,1.94893922719157e-12
"PTPN21",1.14796183419235e-16,-0.503428875692232,0.257,0.502,1.98849948918798e-12
"RHEX",1.19767302900866e-16,-0.69719699807748,0.499,0.799,2.07460922084881e-12
"IQCH",1.27325884724126e-16,-0.667099933148566,0.333,0.606,2.20553897519131e-12
"TADA3",1.27414164663033e-16,-0.985874899086364,0.149,0.361,2.20706816029306e-12
"MT-ND4L",1.27669557691201e-16,-0.50920694088466,0.627,0.864,2.21149207832698e-12
"CHODL",1.35335337195939e-16,-2.47547171070721,0.079,0.281,2.34427871090806e-12
"EDA",1.37860045149818e-16,2.68002384184856,0.321,0.127,2.38801170208514e-12
"PCSK7",1.39643680489581e-16,-0.657228722925729,0.283,0.541,2.41890783344053e-12
"SIMC1",1.43598938484631e-16,1.8634239230885,0.437,0.243,2.48742081243077e-12
"GPX1",1.45626527783708e-16,-0.839232672507066,0.203,0.485,2.52254271426939e-12
"PGK1",1.53989299934872e-16,0.81596480031696,0.818,0.9,2.66740265347185e-12
"FSCN1",1.56076215223888e-16,1.7262880638559,0.463,0.272,2.70355220010818e-12
"TLE4",1.60728602560623e-16,2.15973174167074,0.564,0.408,2.78414085355511e-12
"ANKRD13A",1.67059409062479e-16,-0.525664659161189,0.564,0.79,2.89380308378027e-12
"ZNF354A",1.7708872993739e-16,1.94943482455517,0.318,0.165,3.06753097997547e-12
"CALD1",1.8605235043643e-16,0.826006411003008,0.846,0.815,3.22279881425983e-12
"BIRC2",1.91024229608999e-16,-0.627823880205852,0.51,0.804,3.30892170528708e-12
"UBQLN2",1.93736540761814e-16,-0.523293029019541,0.302,0.538,3.35590435907615e-12
"CCDC34",1.93792060729014e-16,-1.21977360678238,0.254,0.51,3.35686607594798e-12
"CDHR3",1.96158318934721e-16,2.24347552441584,0.469,0.255,3.39785440058724e-12
"PILRA",1.96738333306394e-16,-1.62626430131554,0.076,0.251,3.40790140953336e-12
"DNALI1",2.03726559801649e-16,-0.759998664507391,0.203,0.459,3.52895146888416e-12
"TMEM184A",2.04361225018118e-16,-1.13063999865441,0.134,0.33,3.53994513976384e-12
"PLPP5",2.07442202216485e-16,-0.905369738776582,0.164,0.389,3.59331382679395e-12
"PLGRKT",2.07487582687555e-16,-0.616076657596788,0.223,0.46,3.59409990731383e-12
"RPL22",2.11290191172754e-16,-0.841305392545922,0.381,0.717,3.65996869149444e-12
"LRRC41",2.17920834661219e-16,2.15447671420159,0.662,0.626,3.77482469800163e-12
"DCBLD2",2.21507949526432e-16,-1.15372662158008,0.879,0.996,3.83696070169686e-12
"PLXDC2",2.23580294702411e-16,3.33048375823385,0.392,0.161,3.87285786483517e-12
"RIN2",2.30015138776791e-16,1.29760680338079,0.832,0.895,3.98432223389158e-12
"WIPI2",2.33202487588522e-16,-0.569601785315375,0.39,0.65,4.03953349000837e-12
"GRIK2",2.4014185715266e-16,2.72173317486738,0.324,0.128,4.15973724959838e-12
"TOX3",2.40930412653098e-16,-0.81816989732476,0.351,0.675,4.17339660797696e-12
"CDK10",2.62272253142548e-16,-0.669836957821988,0.287,0.535,4.54307996893522e-12
"CASP6",2.67317373074116e-16,-0.864661026286898,0.166,0.395,4.63047153638985e-12
"CPNE7",2.78908200216541e-16,2.71526924007797,0.266,0.073,4.83124784415092e-12
"ST3GAL2",2.88938738214143e-16,1.62308442739013,0.536,0.363,5.00499682334539e-12
"PHKG2",2.92607883759577e-16,-1.01754393304322,0.164,0.364,5.06855376248339e-12
"GSE1",2.97510709344059e-16,1.22862906895897,0.755,0.874,5.15348050725779e-12
"TNPO2",3.005733260221e-16,-0.551456633919829,0.406,0.705,5.20653115335481e-12
"FZD6",3.03652461526367e-16,1.00278066561695,0.74,0.829,5.25986793855974e-12
"FIG4",3.05512238335426e-16,2.17198589181212,0.587,0.467,5.29208299244624e-12
"MRPS10",3.10418045115466e-16,-0.833502321270557,0.276,0.564,5.3770613774901e-12
"TMCO4",3.11815089444199e-16,-0.529444908604309,0.386,0.662,5.40126097935242e-12
"DDOST",3.17619631459936e-16,-0.61060254921283,0.423,0.715,5.50180725614901e-12
"PRKCH",3.18911695212464e-16,-1.1637740624027,0.193,0.476,5.52418838447031e-12
"SP1",3.23021663901622e-16,-0.579976412005388,0.533,0.848,5.59538126210389e-12
"DISC1",3.44605022621827e-16,2.09530582446353,0.594,0.522,5.96924820185529e-12
"B3GNT3",3.57321169656659e-16,-2.59279481378834,0.061,0.287,6.18951730079264e-12
"COL13A1",3.6067483213942e-16,2.49572040753825,0.345,0.162,6.24760944231903e-12
"ERO1B",3.80949259612169e-16,2.48971356938051,0.328,0.127,6.59880307500199e-12
"PLAG1",3.85713620600568e-16,-0.647563930596601,0.172,0.411,6.68133133604303e-12
"PSMD2",3.89479037360875e-16,-0.500506315625857,0.508,0.827,6.74655588516508e-12
"CHML",3.99351992396257e-16,1.7164272309342,0.503,0.363,6.91757521228796e-12
"RRAGD",4.0738555139058e-16,-1.51203023565491,0.096,0.343,7.05673252118763e-12
"TXK",4.10440596011814e-16,-0.737109760211294,0.171,0.384,7.10965200411665e-12
"VPS4B",4.23140242173877e-16,-0.639608478855341,0.47,0.799,7.32963527493589e-12
"EIF5B",4.42490026004133e-16,-0.503925915419251,0.706,0.934,7.66481223044359e-12
"CDC42BPG",4.4911177598296e-16,-1.94315107907142,0.07,0.29,7.77951418357683e-12
"IL1R1",4.5124976930102e-16,1.72419328588821,0.442,0.256,7.81654850383226e-12
"ERP44",4.60633980593771e-16,-0.515410233009249,0.463,0.744,7.97910181184531e-12
"IFI30",4.65241499754111e-16,-2.76694476245548,0.035,0.255,8.05891325874072e-12
"BRD8",4.69103984217396e-16,-0.600566614945347,0.39,0.681,8.12581921461374e-12
"TM4SF18",5.29676232786133e-16,3.10751993872974,0.288,0.087,9.1750517043214e-12
"S100A11",5.4565748765704e-16,-0.64067894678653,0.413,0.733,9.45187900119524e-12
"COL4A6",5.55139426210463e-16,3.20205296406669,0.293,0.113,9.61612514081764e-12
