"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ZBTB2",8.5639500798283e-16,0.749988864013054,0.33,0.121,1.48344743282786e-11
"AP1S3",8.98974370021127e-16,0.903651965397137,0.676,0.441,1.5572034037506e-11
"USP15",9.20918346589398e-16,0.514394266051822,0.754,0.533,1.59521475996215e-11
"EDA",9.4632670252584e-16,1.31640856090883,0.321,0.102,1.63922711411526e-11
"RAI14",9.56041554013871e-16,0.760672405873984,0.802,0.573,1.65605517986283e-11
"FGFR1OP2",9.66546144088484e-16,0.608471093630065,0.437,0.201,1.67425123079007e-11
"MID1",9.6867012163259e-16,0.842426638545198,0.76,0.503,1.67793038469197e-11
"SCD",9.74355544264911e-16,1.2388388470639,0.714,0.557,1.68777867377568e-11
"CSDE1",9.7522180751265e-16,-0.900317447290819,0.722,0.765,1.68927921497341e-11
"SYNGAP1",9.95789318073686e-16,0.591204150439848,0.454,0.19,1.72490625676724e-11
"VEPH1",1.00463318353013e-15,1.19820270611478,0.418,0.167,1.74022560051089e-11
"PLXNA1",1.02731410335039e-15,0.663700823858932,0.462,0.209,1.77951348982354e-11
"DPM1",1.04794825477621e-15,0.698298974422989,0.533,0.261,1.81525596692335e-11
"PRRC1",1.05806325481532e-15,0.750785470250771,0.515,0.239,1.83277716999109e-11
"RPS17",1.07322344221004e-15,1.17970977474172,0.43,0.195,1.85903764659623e-11
"KIAA0930",1.09871865797058e-15,0.562286453131543,0.336,0.138,1.90320045933665e-11
"NOP56",1.11641867329487e-15,1.12510752291938,0.52,0.235,1.93386042588138e-11
"GSTP1",1.13673663272341e-15,0.658609251488973,0.297,0.126,1.96905519520349e-11
"DICER1",1.1393598001758e-15,0.678951297978478,0.674,0.381,1.97359904586453e-11
"FNTA",1.1631191322463e-15,0.696602380788357,0.408,0.168,2.01475496087705e-11
"DNMT3B",1.17313460019559e-15,1.52847251123388,0.345,0.104,2.0321037544588e-11
"METAP1D",1.19244950409933e-15,0.721565348009808,0.341,0.123,2.06556103100087e-11
"PSMA6",1.22877890366286e-15,0.5800333718212,0.468,0.217,2.12849081692481e-11
"NDE1",1.27314211523273e-15,0.941184029801856,0.409,0.166,2.20533677200613e-11
"MAP3K13",1.29250098238568e-15,-1.13946827646146,0.577,0.619,2.23887020168848e-11
"KLHL8",1.32188463484003e-15,0.687082231766285,0.456,0.21,2.2897685644699e-11
