"","x"
"848","MTFR1"
"849","STAG3"
"850","FECH"
"851","MYO9A"
"852","PFKP"
"853","IDI1"
"854","SP100"
"855","KLF6"
"856","PLPP1"
"857","NEO1"
"858","TRAM1"
"859","PHKA1"
"860","TNFRSF1A"
"861","CACNB1"
"862","EVI5"
"863","STOML1"
"864","PKM"
"865","DHX29"
"866","DNTTIP2"
"867","METTL22"
"868","TP53BP1"
"869","TRO"
"870","RRP15"
"871","RHOA"
"872","DHX8"
"873","PRKCZ"
"874","IARS2"
"875","SYT1"
"876","NAV3"
"877","IDH3G"
"878","ROGDI"
"879","ROCK1"
"880","CBFB"
"881","PDK3"
"882","HYAL2"
"883","HDAC4"
"884","RASSF1"
"885","IFI35"
"886","HEATR6"
"887","COASY"
"888","PLEKHH3"
"889","MEF2A"
"890","OTUD5"
"891","TFE3"
"892","TBC1D25"
"893","ACSL4"
"894","INPP5A"
"895","GPKOW"
"896","GRIPAP1"
"897","FTSJ1"
"898","PRR11"
"899","REEP1"
"900","ATP11A"
"901","POLR1A"
"902","LAPTM4A"
"903","TTC7A"
"904","IP6K2"
"905","SRBD1"
"906","KIF2A"
"907","PSME4"
"908","IFT80"
"909","SIRT2"
"910","ERLEC1"
"911","PPP2R5B"
"912","PYGM"
"913","TRPC7"
"914","MAST4"
"915","SDK2"
"916","NUP133"
"917","NUCKS1"
"918","VPS35"
"919","DNAJA2"
"920","BCL3"
"921","KCNAB2"
"922","ABCC9"
"923","CLEC2D"
"924","FUNDC1"
"925","MAOB"
"926","RORA"
"927","DRD4"
"928","TGFBR3"
"929","ATP1B3"
"930","NEDD4"
"931","PIGB"
"932","MAPK6"
"933","GNB5"
"934","RAB27A"
"935","HDHD5"
"936","UFD1"
"937","LRP6"
"938","GUCY2C"
"939","PHRF1"
"940","ELP1"
"941","NUCB2"
"942","PFN2"
"943","PTPN3"
"944","SPTB"
"945","DAPP1"
"946","SLC44A1"
"947","TMEM260"
"948","SMG6"
"949","EXOC5"
"950","CLTCL1"
"951","FSTL3"
"952","DGCR2"
"953","RNF126"
"954","MNT"
"955","ZXDC"
"956","JMJD6"
"957","POLB"
"958","ST6GALNAC1"
"959","WIPI1"
"960","GBA2"
"961","NDST1"
"962","ASNS"
"963","AP3M2"
"964","CNGB1"
"965","ST6GALNAC2"
"966","CHAT"
"967","PABPC1"
"968","TESK2"
"969","CFAP20"
"970","CSNK2A2"
"971","PTPN21"
"972","EIF2B3"
"973","TCOF1"
"974","CDC42"
"975","OSBPL3"
"976","RAD18"
"977","ATP2B1"
"978","NCK2"
"979","MAP4K4"
"980","MGAT4A"
"981","RPL31"
"982","WDR1"
"983","SNX13"
"984","ARHGAP10"
"985","RPS6KA2"
"986","ING3"
"987","VASH1"
"988","LMCD1"
"989","BUD23"
"990","SEL1L"
"991","TRIP13"
"992","ATP6AP1"
"993","TCF3"
"994","TRIB2"
"995","DAZAP1"
"996","MBD3"
"997","HLTF"
"998","FAM50A"
"999","FAM3A"
"1000","CPSF1"
"1001","MYO3B"
"1002","CYBRD1"
"1003","PDCD2"
"1004","RDH11"
"1005","PRKACA"
"1006","ADGRL1"
"1007","ACTN1"
"1008","ZFYVE26"
"1009","RPS6KA6"
"1010","EPN2"
"1011","PTPN18"
"1012","LIMS2"
"1013","SPEG"
"1014","LNX1"
"1015","ALDH3A2"
"1016","TFRC"
"1017","SREBF1"
"1018","TRPC5"
"1019","AFF4"
"1020","UBE2D1"
"1021","PALS1"
"1022","RHOBTB1"
"1023","SMC1A"
"1024","HSD17B10"
"1025","MARK2"
"1026","HMMR"
"1027","CHFR"
"1028","TRHDE"
"1029","P4HA2"
"1030","NFATC3"
"1031","TRNT1"
"1032","ACADVL"
"1033","STK10"
"1034","FBXW11"
"1035","CRMP1"
"1036","EVC"
"1037","DERL2"
"1038","NDE1"
"1039","IRAG1"
"1040","TMEM38A"
"1041","AP1M1"
"1042","PVR"
"1043","XRCC1"
"1044","SCARB1"
"1045","MCM2"
"1046","SELENOO"
"1047","TP63"
"1048","ALPK1"
"1049","LLGL2"
"1050","PDE8A"
"1051","CLCN4"
"1052","NLE1"
"1053","SDHA"
"1054","SMARCE1"
"1055","GSDMB"
"1056","KDM5A"
"1057","ADAM11"
"1058","PPP2R3A"
"1059","FERMT2"
"1060","DHRS9"
"1061","PTGS2"
"1062","IGF2BP2"
"1063","MAP3K13"
"1064","ST6GAL1"
"1065","FRY"
"1066","PICALM"
"1067","NSF"
"1068","GLI2"
"1069","CLASP1"
"1070","MRPS34"
"1071","NOTCH3"
"1072","CLNS1A"
"1073","PPP2R2C"
"1074","TEAD2"
"1075","EED"
"1076","CDHR2"
"1077","TSG101"
"1078","NCBP3"
"1079","CA12"
"1080","MGLL"
"1081","NTN4"
"1082","BCS1L"
"1083","NUAK1"
"1084","DPP8"
"1085","SLC24A1"
"1086","ZNF532"
"1087","SCARF1"
"1088","LMAN1"
"1089","HACD3"
"1090","IPCEF1"
"1091","ZZEF1"
"1092","ENO1"
"1093","SLC12A1"
"1094","MYDGF"
"1095","ANO8"
"1096","TUBE1"
"1097","ARHGEF10L"
"1098","TXK"
"1099","KCNQ2"
"1100","TACR2"
"1101","ACTR6"
"1102","TIPIN"
"1103","SRI"
"1104","EIF4G3"
"1105","NUP37"
"1106","SEMA3A"
"1107","GTSE1"
"1108","SEMA3C"
"1109","TTC38"
"1110","ACAT1"
"1111","GRAMD4"
"1112","CELSR1"
"1113","ZNF638"
"1114","SLC25A40"
"1115","TIMM21"
"1116","ADD2"
"1117","RASAL2"
"1118","VPS9D1"
"1119","ZNF37A"
"1120","MARK3"
"1121","SLC25A3"
"1122","FNDC3B"
"1123","FOSL2"
"1124","FRYL"
"1125","TMEM131"
"1126","FSCN1"
"1127","ACTB"
"1128","MOCOS"
"1129","PLD1"
"1130","WDR62"
"1131","DLG1"
"1132","RAB7A"
"1133","BCAP29"
"1134","SEC31B"
"1135","SART3"
"1136","ARHGAP15"
"1137","PAX2"
"1138","EXOSC7"
"1139","KIFAP3"
"1140","MKRN2"
"1141","MCM6"
"1142","REXO2"
"1143","RBM7"
"1144","RBMS2"
"1145","BAZ2A"
"1146","PTPN23"
"1147","MLH1"
"1148","UNG"
"1149","FMO4"
"1150","KLHL20"
"1151","SLC46A1"
"1152","PLXNA2"
"1153","SPAG5"
"1154","ANKRD13A"
"1155","TPD52"
"1156","ACACB"
"1157","TRAF4"
"1158","PAG1"
"1159","GPATCH1"
"1160","ICAM3"
"1161","NT5C2"
"1162","MCAM"
"1163","GPC4"
"1164","MBNL3"
"1165","CAMSAP3"
"1166","RAP1GAP"
"1167","XAB2"
"1168","ARHGEF1"
"1169","STXBP2"
"1170","MAP2K7"
"1171","DGKD"
"1172","CTTNBP2"
"1173","RARB"
"1174","TOP2B"
"1175","TM9SF3"
"1176","NFKB2"
"1177","UBE2T"
"1178","PPP1R12B"
"1179","DNAJC10"
"1180","GTF3C1"
"1181","IL4R"
"1182","USP33"
"1183","PAK3"
"1184","CAPN6"
"1185","SNRPA"
"1186","SPAG6"
"1187","EXOSC5"
"1188","DYNC1I2"
"1189","APBB1IP"
"1190","LRCH4"
"1191","FAM76B"
"1192","SIRT6"
"1193","TYR"
"1194","POLD3"
"1195","ACTN2"
"1196","CAPZB"
"1197","GPR137B"
"1198","JADE1"
"1199","SLC25A43"
"1200","UBE2A"
"1201","FGFR1"
"1202","SMC1B"
"1203","FBLN1"
"1204","MAP2"
"1205","PIAS2"
"1206","AMPH"
"1207","ARAF"
"1208","MCCC1"
"1209","LAMP3"
"1210","FAP"
"1211","NEBL"
"1212","ACER3"
"1213","UBE2K"
"1214","PIK3C3"
"1215","N4BP2"
"1216","TIGAR"
"1217","TULP3"
"1218","SYNJ2"
"1219","ADCY2"
"1220","PPP2R5C"
"1221","RBFOX1"
"1222","GNB1"
"1223","HOXA9"
"1224","EDN1"
"1225","MLLT10"
"1226","ZCWPW1"
"1227","FGF20"
"1228","ITM2A"
"1229","NRDC"
"1230","VDAC3"
"1231","PCM1"
"1232","TNRC6C"
"1233","CBFA2T2"
"1234","BRINP1"
"1235","ITCH"
"1236","PKD2L2"
"1237","TP53INP2"
"1238","SDF4"
"1239","MYH7B"
"1240","TP73"
"1241","TOLLIP"
"1242","UBE2D4"
"1243","CLUL1"
"1244","RUNX1T1"
"1245","THOC1"
