"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PCED1B",2.34873747707211e-20,1.08992599961306,0.715,0.378,4.06848305778431e-16
"TNIP1",2.36400229713666e-20,0.666137196568691,0.889,0.621,4.09492477910012e-16
"SPAG16",2.37156287624152e-20,-1.46847619043865,0.55,0.652,4.10802121422556e-16
"TRPM3",2.38964215598778e-20,-2.64643340630078,0.12,0.338,4.13933814260204e-16
"ARHGAP32",2.52620187275212e-20,-1.10891739455958,0.701,0.756,4.37588688398122e-16
"IPO9",2.53413213314654e-20,0.835994258028064,0.806,0.488,4.38962368103644e-16
"PRDM5",2.55525490344463e-20,-2.3327818458537,0.161,0.376,4.42621254374679e-16
"CORO2B",2.55572641442665e-20,2.41905874450737,0.254,0.047,4.42702929506984e-16
"ENY2",2.65147428208852e-20,1.43292609716574,0.412,0.119,4.59288375143373e-16
"ZNF117",2.74244261832363e-20,0.986413692874109,0.531,0.22,4.7504591034602e-16
"MRPL13",2.82559556091375e-20,1.56365188695223,0.301,0.078,4.8944966306148e-16
"WDR37",2.84262748237107e-20,0.901990887846496,0.717,0.378,4.92399932496316e-16
"PFDN2",3.07313052946622e-20,1.29691138156989,0.371,0.121,5.32327670314139e-16
"SNX9",3.12195371346253e-20,0.674153094091926,0.872,0.584,5.4078482224598e-16
"NUP54",3.13080612478112e-20,0.666517967022864,0.552,0.278,5.42318236934585e-16
"GPX3",3.21043743189021e-20,-2.31551475782717,0.25,0.505,5.56111971952023e-16
"SUB1",3.24537037443604e-20,0.589951399961735,0.705,0.386,5.62163056259811e-16
"THBS1",3.25731378264769e-20,-1.57106454378659,0.579,0.689,5.64231893430233e-16
"DOCK6",3.28836426745765e-20,0.989617289095324,0.321,0.108,5.69610458409014e-16
"ATP5MC2",3.37829706694223e-20,1.04868526127196,0.415,0.147,5.85188617935732e-16
"DIDO1",3.40359240546723e-20,0.628890470716788,0.796,0.491,5.89570276475033e-16
"ATG7",3.4135722707452e-20,0.738284591691446,0.815,0.524,5.91298988738484e-16
"CRCP",3.50269211519245e-20,0.688443260588054,0.628,0.31,6.06736328193636e-16
"BLZF1",3.51015073579232e-20,0.696825395473712,0.606,0.34,6.08028310453945e-16
"ABCA2",3.66068981168184e-20,1.1011009265701,0.382,0.143,6.34104689179528e-16
"SETD1A",3.67029031888326e-20,0.688762787813023,0.436,0.181,6.35767689036959e-16
"AP2B1",3.69081177767353e-20,0.599986497544325,0.859,0.626,6.39322416128609e-16
"YWHAG",3.70297299568734e-20,0.678456269406871,0.88,0.578,6.41428982312961e-16
"SFMBT2",3.73659620634842e-20,-2.86610098479442,0.109,0.329,6.47253194863673e-16
"FOXN2",3.77057859214348e-20,1.01964667148592,0.44,0.177,6.53139623731093e-16
"NCAPG",3.80076255145475e-20,2.50650317850159,0.289,0.047,6.58368089162992e-16
"ANP32B",3.82226297496462e-20,0.788993159002581,0.661,0.339,6.62092392523372e-16
"ATP1A1",3.87747656093514e-20,0.765058894499085,0.905,0.67,6.71656489885186e-16
"TEX9",3.94477878181236e-20,-1.85793563865536,0.29,0.488,6.83314580585538e-16
"CYP3A5",3.95776292276832e-20,0.78360201488152,0.586,0.281,6.85563693481929e-16
"ZBTB7A",4.02505237495453e-20,0.782806571424372,0.592,0.293,6.97219572389623e-16
"ITGA1",4.09346151564336e-20,-2.47221236665078,0.138,0.355,7.09069403739742e-16
"IQCE",4.13053336948925e-20,0.786070290547603,0.533,0.252,7.15490990262928e-16
"CCNT1",4.30497870942426e-20,0.884980288092709,0.551,0.251,7.45708412046471e-16
"SENP5",4.44352738487501e-20,0.681976669881972,0.816,0.509,7.69707813608048e-16
"RBBP6",4.50111631424799e-20,0.625264462903121,0.795,0.468,7.79683367954037e-16
"ACSS2",4.55368918853585e-20,1.45429183196096,0.451,0.206,7.8879004123818e-16
"RBM22",4.57843973902129e-20,0.646563639920667,0.508,0.22,7.93077331593268e-16
"EFHC2",4.58351565862684e-20,-3.48513388547287,0.081,0.295,7.93956582387341e-16
