"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"HKDC1",2.10414552809214e-233,0.985562972662102,0.557,0.296,3.64480088376121e-229
"GANAB",2.15596074610575e-233,0.70835988267811,0.759,0.591,3.73455520440438e-229
"ABCA5",2.54904414437193e-233,-1.32498462434521,0.262,0.494,4.41545426688105e-229
"CMTM3",2.88084193557435e-233,1.73082104542986,0.432,0.24,4.9901944008019e-229
"EFL1",1.00239719896094e-232,0.948483813943209,0.636,0.466,1.73635242804014e-228
"PHLPP1",1.51979957094016e-232,-1.24663568114392,0.398,0.599,2.63259681678255e-228
"DNM1",2.89089049978092e-232,0.950236214636334,0.543,0.32,5.00760052372052e-228
"C3",3.06216635960727e-232,-1.93042847660479,0.184,0.376,5.30428456811171e-228
"RIOK2",4.45847284438877e-232,-1.28103930901346,0.179,0.392,7.72296666105023e-228
"CARD11",6.14715194704953e-232,1.04891474370762,0.628,0.428,1.06480966026792e-227
"NIPBL",7.86828245312639e-232,0.511952705489906,0.937,0.827,1.36294388653055e-227
"CRY1",5.57350747601013e-231,0.655954453006621,0.829,0.634,9.65442964994475e-227
"DSEL",6.46366324828339e-231,-1.78979736721314,0.088,0.259,1.11963574786765e-226
"L3HYPDH",7.27101426202694e-231,-1.37878673565657,0.226,0.443,1.25948509046831e-226
"DISP1",8.61201230612578e-231,-1.09395308577828,0.472,0.666,1.49177277166711e-226
"TCF3",2.10681787523478e-230,1.02633125883229,0.576,0.401,3.64942992348169e-226
"ARHGEF3",3.35097796270327e-230,-1.46223859043119,0.304,0.518,5.8045640269946e-226
"UTY",3.84552258391124e-230,1.06633619657886,0.484,0.223,6.66121421985105e-226
"UACA",6.30801597854021e-230,-0.987707480092554,0.599,0.739,1.09267452780274e-225
"SLC35D1",1.80632819302881e-229,-1.4217220798815,0.201,0.416,3.1289216959645e-225
"GNB4",1.84122373525468e-229,-1.26238234809736,0.185,0.395,3.18936775420815e-225
"FHL1",2.07962422150586e-229,-1.25650927259756,0.185,0.397,3.60232507649244e-225
"IPO7",2.10239497530985e-229,0.59840385938386,0.845,0.672,3.64176857623173e-225
"FGF14",3.02805276413824e-229,-1.51726413092846,0.104,0.284,5.24519299804025e-225
"ZNF286A",3.05710911853704e-229,-1.51689171607234,0.109,0.295,5.29552441512985e-225
"TTC8",4.55976988150637e-229,-1.39361539732217,0.189,0.402,7.89843338874533e-225
"ELL2",4.65736355226858e-229,-1.01949145462335,0.499,0.697,8.06748514523964e-225
"MYO1C",1.24645122575908e-228,0.752401433381789,0.718,0.572,2.15910281325988e-224
"ZSWIM5",1.82670748385073e-228,-1.49832981085239,0.286,0.505,3.16422270352623e-224
"NHSL2",5.64544602544883e-228,-2.15590439736083,0.151,0.325,9.77904160528247e-224
"POU5F1",8.09894808477025e-228,-1.18846622870414,0.497,0.661,1.4028997872439e-223
"CALU",9.03792425231234e-228,0.635397393679643,0.877,0.717,1.56554923898554e-223
"TRIB2",2.93957400107978e-227,-2.15867323297022,0.117,0.296,5.0919300846704e-223
"TXNRD3",4.20673110255646e-227,-1.24073822422942,0.231,0.449,7.28689961584831e-223
"ST3GAL5",1.03293801432743e-226,1.74863322345461,0.401,0.197,1.78925522841797e-222
"CNTNAP3",1.09929912541935e-226,0.93757328131206,0.617,0.412,1.9042059450514e-222
"MAGED1",1.93879085256024e-226,-0.855891264690748,0.491,0.693,3.35837351480484e-222
"PDE3B",2.23666181694138e-226,-2.00253489984814,0.089,0.255,3.87434559930587e-222
"DIP2C",2.34877927031905e-226,-0.519398718955121,0.809,0.892,4.06855545204666e-222
"NDUFV2",3.15493067966412e-226,-1.47195204674866,0.42,0.58,5.46497092331419e-222
"ABCB10",3.97350747196154e-226,-1.3826692386487,0.164,0.368,6.88290964293178e-222
"AASS",4.62821131602764e-226,-1.65800306466197,0.14,0.332,8.01698764162307e-222
"MT-ND4L",5.43884500737077e-226,0.706068001323607,0.776,0.627,9.42116732176765e-222
"GTPBP1",6.30445123981837e-226,1.17722320986961,0.527,0.351,1.09205704376134e-221
"ZFP30",6.61460145682728e-226,-1.43689902224244,0.152,0.356,1.14578126435162e-221
"ZNF121",6.80315177704011e-226,0.958066120722492,0.602,0.432,1.17844195081889e-221
"CFAP210",6.98065462840906e-226,1.13814257014609,0.551,0.344,1.20918899473302e-221
"ABI1",7.28381663776588e-226,0.700049784768463,0.73,0.585,1.26170271799381e-221
"MAML2",7.48861410172542e-226,0.767839703619583,0.954,0.917,1.29717773470088e-221
"ZNF3",9.83754896874488e-226,1.08982425947005,0.546,0.339,1.70406023236599e-221
"NCALD",1.68505829744146e-225,-1.86817677599131,0.173,0.36,2.9188579828281e-221
"AQR",3.36519034716027e-225,0.682970232214537,0.688,0.543,5.82918271935102e-221
"SAMD4A",3.81185690605053e-225,-0.691623613156886,0.714,0.839,6.60289853266074e-221
"SCP2",4.58315616177509e-225,-1.26096653285407,0.429,0.611,7.93894310342681e-221
"B3GAT1",5.35264360866985e-225,2.75859202683731,0.269,0.082,9.27184925893791e-221
"PLAGL1",5.43837414958144e-225,-0.963804706612851,0.462,0.67,9.42035170190497e-221
"TLK1",6.68365224205459e-225,0.514207744972162,0.855,0.738,1.1577422413687e-220
"LRRC8D",1.03453105705813e-224,-1.2247083326862,0.313,0.524,1.7920146970361e-220
"PID1",1.81135266847322e-224,-1.7045812749498,0.122,0.305,3.13762509232932e-220
"ZNF343",2.22962256833413e-224,-1.76768415424169,0.088,0.26,3.86215221286838e-220
"ELOVL5",2.58239874296675e-224,0.633237623691866,0.849,0.704,4.473231102567e-220
"COL12A1",5.38883820533589e-224,-1.49418759274225,0.278,0.471,9.33454553928282e-220
"MEIS2",6.15830926662621e-224,0.824146306463243,0.677,0.493,1.06674233116499e-219
"SF3B1",1.66314855968414e-223,0.541158786553174,0.844,0.713,2.88090593508488e-219
"NSRP1",1.89468134194205e-223,0.553381869986099,0.839,0.702,3.28196702051203e-219
"SLC24A3",2.30522876818958e-223,-1.11264488916725,0.147,0.348,3.99311727225799e-219
"SKP2",5.71680116190587e-223,-1.52484941034443,0.213,0.415,9.90264297265335e-219
"PPP1CB",5.92738100479323e-223,0.654605461009916,0.754,0.617,1.02674093765028e-218
"ASXL2",1.29636326011324e-222,0.5916135113987,0.788,0.657,2.24556043916816e-218
"DOCK7",2.70481725427002e-222,-0.700689343150355,0.757,0.796,4.68528444784652e-218
"INTS10",2.87387721416457e-222,1.08980493320477,0.579,0.406,4.97813011037587e-218
"PDE10A",3.42982314724734e-222,-1.84547302586848,0.627,0.721,5.94113965566184e-218
"RARS1",7.37611548901882e-222,0.732747601706123,0.743,0.588,1.27769072500784e-217
"TNFRSF11B",9.58584970821291e-222,-1.85150272636151,0.127,0.311,1.66046088645664e-217
"HIVEP3",1.83688702398386e-221,0.692699075894465,0.922,0.844,3.18185570294483e-217
"CXCL2",4.69042232087273e-221,-1.67108425029147,0.136,0.316,8.12474954421575e-217
"CD44",1.63176552769716e-220,0.53886089295393,0.904,0.781,2.82654424707702e-216
"TGFBR3",2.23168459193644e-220,1.1771857054072,0.584,0.373,3.8657240501523e-216
"CEP57",2.46046922888955e-220,0.832537473690106,0.644,0.488,4.26202479828248e-216
"CORO2B",3.23581218216701e-220,1.95455179848665,0.254,0.067,5.6050738619497e-216
"SLC25A43",3.48899200717621e-220,-1.22163148047258,0.276,0.496,6.04363195483063e-216
"MPDZ",4.28975195417177e-220,-1.02931364372535,0.358,0.577,7.43070833501634e-216
"GSPT1",6.60733965729351e-220,0.628595334750057,0.782,0.596,1.14452337543638e-215
"NDRG1",8.71763566590213e-220,0.647140904522884,0.925,0.745,1.51006885004757e-215
"ATP2B4",8.80431995823108e-220,1.00817757084216,0.686,0.537,1.52508430316479e-215
"PTPN11",8.9999246745468e-220,0.590995733235029,0.875,0.705,1.558966952125e-215
"DNAH7",1.00639340109837e-219,0.922471023905447,0.662,0.482,1.7432746493826e-215
"CEP126",3.38551648072036e-219,-1.02987274572064,0.218,0.44,5.86439164790381e-215
"CSNK1G2",3.57556777396784e-219,0.889220502592313,0.605,0.426,6.1935984980671e-215
"PPP3CA",4.67059501467375e-219,-0.853723561255726,0.824,0.84,8.09040468441787e-215
