"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CPAMD8",2.09509060514159e-85,-6.44480781055952,0.015,0.595,3.62911594622626e-81
"SPTLC3",3.12176543784347e-85,-2.15743060089752,0.43,0.921,5.40752209143246e-81
"ATP11A",3.43334810270275e-85,-1.65243988632788,0.641,0.968,5.9472455835017e-81
"RAPGEF6",3.89929161239626e-85,1.55670218184203,0.948,0.903,6.75435293099281e-81
"FAM20A",1.06665937358831e-84,-6.35025800558633,0.014,0.597,1.84766736692968e-80
"SLMAP",1.413207508376e-84,-1.57853001888168,0.681,0.976,2.4479580460089e-80
"JMY",1.66874652504124e-84,-2.77897449392291,0.169,0.752,2.89060273067644e-80
"TACSTD2",3.55737456474262e-84,-7.80454517919282,0.004,0.593,6.16208422104717e-80
"ARHGAP24",4.54182378201601e-84,-3.47368589478655,0.131,0.762,7.86734715520813e-80
"NAP1L1",1.84876575694287e-83,1.46676850399571,0.961,0.93,3.20243204417644e-79
"ANKHD1",2.66555758292062e-83,1.27399888518654,0.959,0.943,4.6172788451351e-79
"EPB41L5",6.9337690436582e-83,-2.23424864524462,0.39,0.909,1.20106747374247e-78
"RHOBTB3",1.50307473181257e-82,-2.33306845710137,0.18,0.727,2.60362605044573e-78
"KIF21A",1.93042804182383e-82,2.21753741868588,0.877,0.663,3.34388745404723e-78
"PPFIBP1",2.45338468873739e-82,1.76160797139643,0.968,0.959,4.2497529578309e-78
"IGF2",4.38970034117166e-82,6.00433583672349,0.646,0.156,7.60383893097755e-78
"HLF",4.55941830727736e-82,-3.73358936739248,0.046,0.658,7.89782439186584e-78
"TRIO",4.82458241777183e-82,1.22513476751572,0.999,0.996,8.35714166406436e-78
"ABCA13",7.24980553739996e-82,-4.70538925494539,0.039,0.627,1.25581131518842e-77
"FBXO32",7.39919831563469e-82,-4.38574103387866,0.063,0.662,1.28168913223424e-77
"PLXNB1",7.71853609707437e-82,-2.15329462890182,0.299,0.873,1.33700482273522e-77
"JUP",1.78794587996498e-81,-2.02362605466615,0.405,0.906,3.09707985327533e-77
"PFKP",1.94073589598757e-81,1.59345945881247,0.951,0.921,3.36174271902967e-77
"PRRG1",2.67485221613758e-81,-2.59052298195433,0.394,0.879,4.63337900879351e-77
"ABCA12",4.61977710126179e-81,-3.15553929831156,0.139,0.754,8.00237789480567e-77
"DOCK4",4.84601298567498e-81,2.33782574658684,0.945,0.906,8.39426369378619e-77
"GPC4",5.92038649700964e-81,-2.87075428269914,0.168,0.791,1.02552934901201e-76
"LYN",9.40340684480691e-81,-2.27590431059259,0.364,0.88,1.62885813365745e-76
"MACC1",1.95171557368564e-80,-2.72111770995972,0.406,0.934,3.38076171673826e-76
"SLC6A20",1.97903528659588e-80,-6.39479347016639,0.011,0.561,3.42808492344138e-76
"HYDIN",2.0090695566938e-80,-3.27127466485075,0.086,0.676,3.48011028610501e-76
