name,K1040_GE1_CTRL_mean_score,K1040_GE1_mean_score,K1040_GE1_CTRL_K1040_GE1_change,K1040_GE1_CTRL_K1040_GE1_pvalue,K1040_GE1_CTRL_K1040_GE1_highlighted
ZNF135,0.1667,0.18101,-0.03279,1.36875E-102,FALSE
ZNF136,0.15405,0.16616,0.03795,3.11685E-84,FALSE
ZNF382,0.17128,0.18839,-0.0213,5.58350E-55,FALSE
ZNF460,0.24419,0.25837,-0.0173,1.88772E-84,FALSE
ZNF528,0.19785,0.21885,-0.03751,4.46165E-87,FALSE
HOXA5,0.15483,0.17795,-0.03609,3.50689E-63,FALSE
HOXD3,0.13996,0.16153,-0.03686,1.10463E-70,FALSE
NEUROG1,0.13748,0.15142,-0.00492,3.44626E-09,FALSE
ZNF707,0.22169,0.23934,-0.02857,2.35560E-80,FALSE
ZNF8,0.13072,0.13797,0.07403,1.14627E-99,FALSE
Foxn1,0.35224,0.3663,0.02314,1.36937E-65,FALSE
ELK1::HOXA1,0.29984,0.32641,-0.02681,5.85977E-49,FALSE
HOXB2::ELK1,0.26583,0.29014,-0.02806,8.95633E-56,FALSE
POU2F1::SOX2,0.12816,0.13849,0.06052,5.20277E-101,FALSE
ZFP14,0.23753,0.25575,-0.03204,2.39947E-99,FALSE
ZNF418,0.16671,0.18192,-0.01034,1.78348E-46,FALSE
ZNF669,0.284,0.30467,-0.04336,1.78814E-76,FALSE
SP1,0.35585,0.37426,-0.01546,1.59844E-70,FALSE
RFX1,0.24935,0.26703,0.00175,1.84316E-01,FALSE
SP2,0.39708,0.41584,-0.00744,5.98137E-45,FALSE
BHLHA15,0.1562,0.15847,0.0868,5.46818E-90,FALSE
SP4,0.3436,0.36554,-0.04278,1.43990E-111,FALSE
KLF14,0.366,0.38723,-0.03167,7.87671E-98,FALSE
KLF12,0.40496,0.4242,-0.01117,1.76565E-60,FALSE
RFX3,0.25893,0.27668,0.00148,7.85034E-01,FALSE
BHLHE22,0.13401,0.14088,0.05307,3.47803E-64,FALSE
HES5,0.24097,0.26461,-0.0535,6.29218E-73,FALSE
TFE3,0.26268,0.29589,-0.11901,1.04608E-104,FALSE
CDX1,0.13839,0.14687,0.08167,1.11207E-112,FALSE
DUXA,0.1347,0.14912,0.02365,9.93254E-52,FALSE
KLF10,0.35188,0.37297,-0.03385,2.12040E-105,FALSE
NR1D2,0.17545,0.19806,-0.06544,2.21873E-102,FALSE
PITX2,0.14825,0.1629,-0.00097,7.04939E-02,FALSE
SOX18,0.1433,0.16098,-0.01658,4.98691E-40,FALSE
Thap11,0.25148,0.26602,0.00254,1.19262E-02,FALSE
ZNF75D,0.19244,0.20823,-0.00701,3.28924E-22,FALSE
BACH1,0.23469,0.32911,-0.49786,2.09030E-212,TRUE
mix-a,0.12841,0.14787,-0.03587,3.17316E-75,FALSE
ARNT::HIF1A,0.2468,0.26999,-0.03546,1.31220E-97,FALSE
Pgr,0.15309,0.16322,0.05682,2.15261E-102,FALSE
Ddit3::Cebpa,0.16843,0.17842,0.04245,1.44037E-80,FALSE
Foxq1,0.14191,0.15585,0.02232,4.45770E-63,FALSE
HOXB1,0.12967,0.14737,-0.01576,1.77548E-35,FALSE
PAX8,0.26529,0.28133,0.05276,2.51962E-77,FALSE
ZNF524,0.21407,0.22202,0.05494,4.47053E-90,FALSE
ZNF75A,0.1793,0.19464,-0.0114,3.94541E-41,FALSE
ZNF766,0.16263,0.17831,0.00187,7.68713E-04,FALSE
ZNF770,0.21355,0.22826,-0.01814,1.18058E-72,FALSE
ZSCAN16,0.19277,0.20967,-0.00317,4.60892E-07,FALSE
ZNF677,0.15281,0.16663,0.00623,2.45855E-20,FALSE
ZBTB17,0.13238,0.13118,0.19649,7.17418E-102,TRUE
FOXP4,0.1819,0.20184,-0.00871,3.32656E-24,FALSE
FOXS1,0.16659,0.18158,0.03096,2.26326E-73,FALSE
HOXA3,0.13264,0.14933,0.00032,3.52126E-01,FALSE
ZNF184,0.17268,0.18696,0.00213,1.79976E-05,FALSE
ZNF213,0.24322,0.25815,-0.01814,3.07883E-78,FALSE
BCL11A,0.19859,0.22098,-0.06673,8.55833E-96,FALSE
EPAS1,0.30759,0.32435,0.04686,1.83818E-60,FALSE
IKZF2,0.1965,0.21751,-0.0465,2.20575E-123,FALSE
PGR,0.17018,0.18689,0.00494,5.76123E-09,FALSE
ZBED4,0.42744,0.44006,0.03042,1.28194E-87,FALSE
ZBTB11,0.34888,0.37872,-0.06194,1.58502E-96,FALSE
ZBTB24,0.23951,0.25813,-0.04419,3.12247E-105,FALSE
ZNF157,0.15782,0.1693,0.02624,3.95432E-61,FALSE
ZNF175,0.21052,0.23414,-0.05121,2.86729E-110,FALSE
ZNF35,0.12602,0.13389,0.06956,9.42654E-89,FALSE
ZNF547,0.17389,0.1839,0.04982,1.62847E-90,FALSE
ZNF558,0.11895,0.12878,0.05399,1.42259E-109,FALSE
ZSCAN21,0.17058,0.18342,0.02564,3.07254E-56,FALSE
FEZF2,0.20306,0.21819,-0.02275,6.94340E-85,FALSE
ALX3,0.1275,0.14496,-0.01535,8.74968E-46,FALSE
TBX21,0.1578,0.18259,-0.11232,9.85892E-125,FALSE
ARGFX,0.12828,0.14768,-0.03711,8.32610E-71,FALSE
ARNT2,0.27675,0.31266,-0.13014,8.70249E-115,FALSE
ASCL1,0.2253,0.23994,-0.00429,1.38744E-10,FALSE
ASCL1,0.20263,0.22531,-0.09527,5.29339E-134,FALSE
ATF2,0.18307,0.21273,-0.10794,2.71640E-124,FALSE
ATF3,0.25832,0.29603,-0.13147,5.05531E-109,FALSE
ATF4,0.1559,0.16826,0.0383,1.54062E-77,FALSE
ATF6,0.25377,0.2863,-0.10081,1.66436E-104,FALSE
ATF7,0.25492,0.28707,-0.08952,8.49077E-96,FALSE
MAFK,0.22554,0.29101,-0.30008,2.32654E-192,TRUE
BACH2,0.24436,0.33868,-0.47923,1.03463E-201,TRUE
BACH2,0.17971,0.20439,-0.04168,2.72684E-74,FALSE
BARHL1,0.20083,0.21627,0.02617,1.28714E-43,FALSE
BARHL2,0.20083,0.21627,0.02617,1.28714E-43,FALSE
BARX1,0.14095,0.15282,0.04304,3.57233E-88,FALSE
BARX2,0.13861,0.15333,0.01024,4.19881E-35,FALSE
BATF,0.24276,0.34046,-0.50505,2.26113E-209,TRUE
BATF::JUN,0.24276,0.34046,-0.50505,2.26113E-209,TRUE
JUN,0.18954,0.2176,-0.08418,9.66986E-113,FALSE
BATF3,0.24276,0.34046,-0.50505,2.26113E-209,TRUE
BCL6,0.18036,0.19515,0.00635,6.62658E-12,FALSE
BHLHE22,0.21276,0.23005,-0.01704,4.21961E-66,FALSE
BHLHE23,0.12823,0.13293,0.08358,1.60125E-91,FALSE
BHLHE40,0.23785,0.27215,-0.12765,4.35676E-107,FALSE
BNC2,0.24276,0.34046,-0.50505,2.26113E-209,TRUE
BSX,0.14095,0.15282,0.04304,3.57233E-88,FALSE
CDX2,0.13706,0.14284,0.11304,9.62134E-125,TRUE
CDX4,0.13276,0.14107,0.08474,5.20179E-123,FALSE
CEBPA,0.15369,0.15926,0.11609,2.58286E-132,TRUE
CEBPB,0.20036,0.20286,0.20521,1.58180E-116,TRUE
CEBPD,0.15914,0.16478,0.11592,2.96025E-130,TRUE
CEBPE,0.19422,0.19556,0.21152,9.57178E-124,TRUE
CEBPG,0.1529,0.16286,0.06276,5.47525E-100,FALSE
CLOCK,0.25861,0.29041,-0.1019,6.97722E-105,FALSE
CREB1,0.17088,0.20057,-0.11433,1.10977E-134,FALSE
CREB3,0.29171,0.32616,-0.08702,1.30567E-93,FALSE
CREB3L1,0.25045,0.28016,-0.08194,1.50362E-99,FALSE
CREB3L4,0.2809,0.31179,-0.08503,1.46074E-97,FALSE
CREB3L4,0.30171,0.33506,-0.09279,1.39628E-93,FALSE
CREM,0.27706,0.3163,-0.15063,9.88433E-118,TRUE
CTCF,0.33268,0.32069,0.12668,4.87965E-151,TRUE
CTCF,0.30942,0.30765,0.0696,5.59149E-124,FALSE
CTCF,0.31334,0.30924,0.0814,1.81377E-127,FALSE
CTCFL,0.3108,0.3151,0.04337,1.70810E-95,FALSE
CUX1,0.12837,0.12384,0.25194,2.75116E-126,TRUE
HOXB13,0.12708,0.13264,0.09669,1.47548E-129,TRUE
CUX2,0.12467,0.122,0.23283,1.08125E-128,TRUE
DBP,0.15239,0.16173,0.08908,3.09752E-91,TRUE
DLX1,0.14095,0.15282,0.04304,3.57233E-88,FALSE
DLX6,0.14095,0.15282,0.04304,3.57233E-88,FALSE
DMRT3,0.14124,0.15074,0.04482,3.44883E-62,FALSE
DMRTA1,0.13587,0.14173,0.09312,1.60777E-110,TRUE
DMRTA2,0.1641,0.17249,0.05532,4.29411E-106,FALSE
DMRTC2,0.13453,0.14092,0.07871,7.78837E-110,FALSE
DPRX,0.15632,0.1728,0.00026,8.08427E-01,FALSE
DRGX,0.1275,0.14496,-0.01535,8.74968E-46,FALSE
E2F2,0.30952,0.31144,0.08977,8.00001E-82,TRUE
E2F3,0.21529,0.22486,0.05291,2.56283E-50,FALSE
ONECUT2,0.13692,0.12956,0.27918,1.79121E-128,TRUE
