"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ABCA6",4.27932600587418,-0.0212458435098598,0.244200576527843,0.0817126676030568,0.905926528665931
"ABCA7",329.961932375227,-0.00119785237540193,0.0323000395170223,0.708011726299328,0.99988901021854
"ABCA9",2.61404555222418,-0.00819919282519048,0.199713251797699,0.299300495083142,0.99988901021854
"ABCA10",14.342110294428,-0.00742646760813679,0.128782087406043,0.552391260518759,0.99988901021854
"ABCA12",556.785877215421,-0.00764130974360714,0.0586158125603762,0.147102305227164,0.99988901021854
"ABCA13",3.4478918023651,-0.00865224786570265,0.192168524992617,0.353817310119206,0.99988901021854
"ABCB1",824.433154531537,-0.0180875924350118,0.11654876695615,0.123844699558078,0.99988901021854
"ABCB4",61.3456576582149,-0.0117529985144328,0.126344833968314,0.358191252544705,0.99988901021854
"ABCB6",814.87831574842,-0.000362673619509677,0.0216295099620201,0.863388359318012,0.99988901021854
"ABCB7",296.264763096524,-0.00482619649930833,0.0540147638556547,0.344317605995071,0.99988901021854
"ABCB8",433.510717055059,0.00112834231796974,0.0415954447460576,0.795838130037841,0.99988901021854
"ABCB9",164.459578447299,-0.00118751930130509,0.0437813324282929,0.797454562605858,0.99988901021854
"ABCB10",347.943390322663,0.000772714540422491,0.0378130099853672,0.844374097574872,0.99988901021854
"ABCC1",2455.4041282871,0.000435595719949642,0.0193339618993229,0.816582326127163,0.99988901021854
"ABCC2",42.4597120678393,-0.000874120742515395,0.0762657489118969,0.918319449976155,0.99988901021854
"ABCC3",6072.79983112953,0.00671215669281141,0.0490139242853691,0.12153169738044,0.99988901021854
"ABCC4",3437.95790539485,0.00475473123210288,0.0475201672942093,0.265751116030721,0.99988901021854
"ABCC5",553.946828274822,-0.0127359703207565,0.0883273905794418,0.133719245707442,0.99988901021854
"ABCC6",23.1916002304937,-0.00701114614958626,0.124107946879125,0.568282207497038,0.99988901021854
"ABCC9",156.200354369036,-0.00585405602085238,0.0884415179943365,0.535112999968623,0.99988901021854
"ABCC10",458.397081885769,0.00162492076370092,0.0411703286960037,0.700331396912345,0.99988901021854
"ABCD1",393.279571394456,-0.00829511391837709,0.0696994859313817,0.203125519622018,0.99988901021854
"ABCD3",917.599046334653,-0.0101834920017569,0.065884875683383,0.093316169041396,0.950197980622277
"ABCD4",466.399382576157,-0.000656236309378716,0.0306199220210746,0.831335554262924,0.99988901021854
"ABCE1",898.354768731887,-0.000699400130167019,0.0229440735709977,0.751936407320579,0.99988901021854
"ABCF1",877.960371454247,4.79027047398544e-05,0.0329632155175046,0.988743946025609,0.99988901021854
"ABCF2",795.840576637081,-0.00140266015662793,0.0363689987897644,0.701482438364242,0.99988901021854
"ABCF3",644.195658299767,-0.00223257867237246,0.0304270147717626,0.417547507258778,0.99988901021854
"ABCG1",5.00804922123842,-0.00550332823425375,0.169552065793423,0.604199793651189,0.99988901021854
"ABCG2",4.86770004878583,-0.00151185170374944,0.163595310786842,0.884463545529138,0.99988901021854
"ABHD2",3005.31511402844,-0.000484278433090903,0.0211651015786465,0.813420289785938,0.99988901021854
"ABHD3",280.552209577311,0.00592551004122996,0.0689902118752014,0.391533685446286,0.99988901021854
"ABHD4",607.021508210706,-0.000647884490826098,0.0276539968894579,0.812900480871773,0.99988901021854
"ABHD5",418.25357176725,0.00119661969527378,0.0345642847796908,0.730575815453327,0.99988901021854
"ABHD6",165.58358003778,-0.0151513127636415,0.105644564981095,0.148566639880019,0.99988901021854
"ABHD8",219.048488918062,-0.0456154793361909,0.19101636093789,0.041908083626734,0.692657641212969
"ABHD10",286.100033424253,-0.00291285420347019,0.0419354747350586,0.466036900850057,0.99988901021854
"ABHD11",279.428177672972,0.000613069148065634,0.0367516427651752,0.872577554321371,0.99988901021854
"ABHD12",972.740504614656,0.000130981689653422,0.0227524915934492,0.953274041308722,0.99988901021854
"ABHD12B",3.64713439993774,0.00712346076636808,0.159816654749447,0.5496621060136,0.99988901021854
"ABHD13",282.295962493369,-0.00160173867600609,0.0388709967979987,0.683867384338047,0.99988901021854
"ABHD14A",231.695523109185,-0.00536501237130864,0.0585620824787003,0.337400963651719,0.99988901021854
"ABHD14B",592.224120493345,-0.00321021949562552,0.0476112032843846,0.492284603805387,0.99988901021854
"ABHD15",501.404532904638,0.0199430028760291,0.103253890168083,0.0585705851424673,0.795648726725513
"ABHD16A",462.797482884936,0.000987033522652617,0.0265881657964016,0.7006302243347,0.99988901021854
"ABHD16B",98.3737318713109,-0.00328420459701436,0.0622952157930343,0.620570028640426,0.99988901021854
